Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV,genotype,treat,HB_strain
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,B5,4509,3964,4146,1645.16,39.31,36.28,wt,0Pi,yH299
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,B6,4284,1668,1306,917.46,49.83,45.78,RS1_28,0Pi,yH900
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,B7,3962,4473,4848,1907.5,40.32,36.96,wt,Ctrl,yH299
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,B8,4018,1914,1673,1053.64,49.85,45.62,RS1_28,Ctrl,yH900
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,C5,4471,3017,3148,1570.02,47.78,45.51,RS1_24,0Pi,yH893
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,C6,4217,1710,1401,1114.9,58.71,44.04,RS1_28,0Pi,yH901
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,C7,3931,3574,4239,1794.56,46.73,45.17,RS1_24,Ctrl,yH893
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,C8,3839,1923,1673,1101.96,51.18,47.03,RS1_28,Ctrl,yH901
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,D5,4359,2597,2662,1424.15,50.24,46.7,RS1_24,0Pi,yH894
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,D6,4170,870,828,660.92,65.74,43.46,RS1_210,0Pi,yH902
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,D7,4164,2903,3487,1619.09,50.77,47.16,RS1_24,Ctrl,yH894
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,D8,3703,994,723,603.59,53.15,44.9,RS1_210,Ctrl,yH902
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,E5,4288,3159,3862,1575.63,46.55,43.84,RS1_24,0Pi,yH895
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,E6,4340,837,690,563.63,58.68,43.04,RS1_210,0Pi,yH903
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,E7,4121,3712,4529,1933.43,48.7,47.41,RS1_24,Ctrl,yH895
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,E8,3796,935,897,572.84,53.75,46.14,RS1_210,Ctrl,yH903
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,F5,4188,1842,1736,1119.7,55.06,50.64,RS1_26,0Pi,yH896
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,F6,4206,873,711,551.21,55.79,43.65,RS1_210,0Pi,yH904
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,F7,3837,2054,2101,1218.15,53.43,50.67,RS1_26,Ctrl,yH896
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,F8,3824,941,829,580.73,54.08,43.64,RS1_210,Ctrl,yH904
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,G5,4416,2084,1724,1223.88,52.52,49.63,RS1_26,0Pi,yH897
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,G7,4080,2345,2975,1356.71,52.81,51.19,RS1_26,Ctrl,yH897
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,H5,4166,2279,2190,1283.32,51.22,49.26,RS1_26,0Pi,yH898
Rep3-0Pi-Ctrl,d021024-30min-RS1-R3,30min,H7,4005,2504,3831,1429.64,51.65,51.45,RS1_26,Ctrl,yH898
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,A5,4627,7041,11405,4538.57,59.32,71.7,wt,2mMH2O2,yH298
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,A6,4210,2783,4150,1475.1,48.73,50.5,RS1_28,2mMH2O2,yH899
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,A7,4108,4613,4622,2005.89,40.73,37.83,wt,Ctrl,yH298
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,A8,3948,1821,1212,987.85,48.48,44.25,RS1_28,Ctrl,yH899
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,B5,4285,11794,12107,3855.51,32.96,29.06,wt,2mMH2O2,yH299
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,B6,4324,2707,4281,1476.33,50.12,51.41,RS1_28,2mMH2O2,yH900
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,B7,4060,4729,5647,1951.3,39.09,37.12,wt,Ctrl,yH299
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,B8,3970,1882,1881,980.86,47.36,42.82,RS1_28,Ctrl,yH900
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,C5,4122,6945,7476,2743.67,39.71,36.81,RS1_24,2mMH2O2,yH893
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,C6,4296,3060,3901,1576.83,48.1,50.23,RS1_28,2mMH2O2,yH901
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,C7,3956,3830,5648,1924.31,47.07,47.45,RS1_24,Ctrl,yH893
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,C8,3964,1997,1975,1064.91,48.14,45.48,RS1_28,Ctrl,yH901
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,D5,4301,7252,8989,2696.12,37.3,34.26,RS1_24,2mMH2O2,yH894
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,D6,4369,811,678,446.96,49.72,43.51,RS1_210,2mMH2O2,yH902
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,D7,4113,4049,5159,2089.8,48.29,48.15,RS1_24,Ctrl,yH894
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,D8,4018,888,690,531.31,52.93,43.24,RS1_210,Ctrl,yH902
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,E5,4378,7275,8839,2831.61,39.35,35.28,RS1_24,2mMH2O2,yH895
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,E6,4403,930,782,658.67,60.38,49.1,RS1_210,2mMH2O2,yH903
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,E7,3937,3779,4383,2002.57,49.26,49.35,RS1_24,Ctrl,yH895
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,E8,3998,913,736,592.77,56.15,45.31,RS1_210,Ctrl,yH903
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,F5,4160,5168,7355,2477.32,47.72,51.43,RS1_26,2mMH2O2,yH896
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,F6,4384,948,851,674.39,60.49,49.65,RS1_210,2mMH2O2,yH904
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,F7,3869,2358,2605,1467.79,56.15,54.01,RS1_26,Ctrl,yH896
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,F8,3993,935,873,592.48,55.01,44.56,RS1_210,Ctrl,yH904
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,G5,4058,5409,7359,2663.08,48.52,50.75,RS1_26,2mMH2O2,yH897
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,G7,3991,2245,2348,1412.78,56.35,51.97,RS1_26,Ctrl,yH897
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,H5,4150,5286,7483,2725.61,50.04,55.05,RS1_26,2mMH2O2,yH898
Rep4-H2O2-Ctrl,d021224-30min-RS1-R4,30min,H7,3940,2203,2176,1422.76,57.25,54.46,RS1_26,Ctrl,yH898
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,A9,4219,6656,7133,2826.85,40.66,37.09,wt,0Pi,yH298
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,A10,4304,2227,2429,1298.41,52.2,46.2,RS1_28,0Pi,yH899
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,A11,4078,14565,51627,18661.52,89.88,114.77,wt,2mMH2O2,yH298
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,A12,3747,6120,10407,4204.77,60.98,64.61,RS1_28,2mMH2O2,yH899
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,B9,4380,7022,7472,2752.88,37.75,35.2,wt,0Pi,yH299
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,B10,4095,2335,2977,1286.63,49.99,47.3,RS1_28,0Pi,yH900
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,B11,3488,37442,39348,14238.81,37.65,31.36,wt,2mMH2O2,yH299
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,B12,3732,6173,6806,4244.96,61.23,64.28,RS1_28,2mMH2O2,yH900
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,C9,4320,4625,5649,2519.34,49.71,49.45,RS1_24,0Pi,yH893
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,C10,4184,2325,1827,1282.41,49.36,45.53,RS1_28,0Pi,yH901
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,C11,3716,21516,22893,9452.08,43.86,42.27,RS1_24,2mMH2O2,yH893
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,C12,3756,6531,11220,4216.95,58.47,62.71,RS1_28,2mMH2O2,yH901
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,D9,4354,4586,6412,2492.1,50.22,50.13,RS1_24,0Pi,yH894
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,D10,4087,1182,897,797.96,58.43,46.91,RS1_210,0Pi,yH902
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,D11,3747,20926,21382,9391.3,44.72,43.14,RS1_24,2mMH2O2,yH894
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,D12,4036,1761,1211,2079.26,85.41,70.02,RS1_210,2mMH2O2,yH902
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,E9,4100,4559,5299,2527.62,50.86,51.41,RS1_24,0Pi,yH895
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,E10,4260,1097,907,763.36,60.1,45.9,RS1_210,0Pi,yH903
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,E11,3547,20891,22360,9940.44,48.23,45.48,RS1_24,2mMH2O2,yH895
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,E12,4175,1627,905,2016.97,89.42,72.26,RS1_210,2mMH2O2,yH903
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,F9,4123,2931,2908,1818,54.89,50.58,RS1_26,0Pi,yH896
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,F10,4149,1076,886,720.06,57.66,44.23,RS1_210,0Pi,yH904
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,F11,4074,5235,7030,5491.36,78.87,74.12,RS1_26,2mMH2O2,yH896
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,F12,4380,1518,1081,1792.11,86.61,68.59,RS1_210,2mMH2O2,yH904
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,G9,4139,3298,4023,1877.44,51.68,48.51,RS1_26,0Pi,yH897
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,G11,3600,14702,18282,9069.35,60.36,67.95,RS1_26,2mMH2O2,yH897
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,H9,3927,2963,4107,2011.24,59.19,50.14,RS1_26,0Pi,yH898
Rep1-0Pi-H2O2,d020724-60min-RS1-R1,60min,H11,3961,5020,6146,5138.22,78.64,71.47,RS1_26,2mMH2O2,yH898
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,A9,4110,8417,8257,3409.24,38.64,37.3,wt,0Pi,yH298
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,A10,3882,2600,3577,1493.64,51.34,48.28,RS1_28,0Pi,yH899
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,A11,3859,33569,44433,23411.55,69.38,80.66,wt,2mMH2O2,yH298
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,A12,3078,7579,10040,4902.12,59.05,60.26,RS1_28,2mMH2O2,yH899
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,B9,4634,7083,6915,3017.51,40.44,37.79,wt,0Pi,yH299
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,B10,3865,2498,2588,1436.01,51.74,48.79,RS1_28,0Pi,yH900
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,B11,3460,36571,38319,13666.7,35.97,29.38,wt,2mMH2O2,yH299
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,B12,2939,8202,12346,4968.98,55.78,55.53,RS1_28,2mMH2O2,yH900
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,C9,3995,4180,4685,2512.52,53.78,51.68,RS1_24,0Pi,yH893
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,C10,3916,2580,3579,1460.35,51.15,47.64,RS1_28,0Pi,yH901
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,C11,3650,12974,19113,8488.77,59.12,61.51,RS1_24,2mMH2O2,yH893
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,C12,3105,8550,11399,5189.38,55.46,54.66,RS1_28,2mMH2O2,yH901
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,D9,4033,5150,5969,2954.86,52.44,51.39,RS1_24,0Pi,yH894
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,D10,4044,1095,702,834.41,64.85,51.54,RS1_210,0Pi,yH902
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,D11,3485,24642,26169,10213.52,40.61,36.74,RS1_24,2mMH2O2,yH894
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,D12,3931,1419,944,1822.58,97,68.54,RS1_210,2mMH2O2,yH902
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,E9,3937,5282,5890,2907.98,50.13,50.55,RS1_24,0Pi,yH895
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,E10,3973,1185,861,918.52,65.48,46.92,RS1_210,0Pi,yH903
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,E11,3336,24297,23903,10160.83,40.9,36.82,RS1_24,2mMH2O2,yH895
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,E12,3473,2960,5972,2996.18,79.98,76.68,RS1_210,2mMH2O2,yH903
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,F9,3857,4562,5493,2308.84,47.11,44.62,RS1_26,0Pi,yH896
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,F10,3899,1135,784,874.27,64.68,47.94,RS1_210,0Pi,yH904
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,F11,3172,20164,25699,10577.49,51.82,51.74,RS1_26,2mMH2O2,yH896
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,F12,3735,2384,2888,2591.85,83.55,74.69,RS1_210,2mMH2O2,yH904
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,G9,3927,4275,4684,2232.56,48.38,45.33,RS1_26,0Pi,yH897
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,G11,3269,20061,21824,10021.05,49.54,49.33,RS1_26,2mMH2O2,yH897
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,H9,3656,4556,6141,2443.33,49.64,46.57,RS1_26,0Pi,yH898
Rep2-0Pi-H2O2,d020824-60min-RS1-R2,60min,H11,3220,16793,21352,10200.4,58.57,62.12,RS1_26,2mMH2O2,yH898
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,A9,4221,6134,7716,2634.5,40.59,39.25,wt,0Pi,yH298
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,A10,3824,2218,2702,1353.59,53.98,47.19,RS1_28,0Pi,yH899
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,A11,3647,4699,5502,2244.14,45.08,42.03,wt,Ctrl,yH298
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,A12,3052,2036,1625,1207.08,53.23,47.26,RS1_28,Ctrl,yH899
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,B9,4167,6245,7585,2463.16,37.6,35.8,wt,0Pi,yH299
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,B10,3984,2094,2396,1237.46,52.63,47.41,RS1_28,0Pi,yH900
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,B11,3612,5219,5812,2310.37,42.15,39.27,wt,Ctrl,yH299
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,B12,3430,2061,2236,1302.37,55.64,50.4,RS1_28,Ctrl,yH900
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,C9,4000,4391,5582,2529.95,52.26,50.94,RS1_24,0Pi,yH893
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,C10,4041,2250,2032,1341.38,53.13,48.56,RS1_28,0Pi,yH901
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,C11,3501,4321,5727,2598.44,54.62,53.7,RS1_24,Ctrl,yH893
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,C12,3384,2122,1763,1278.19,53.43,49.19,RS1_28,Ctrl,yH901
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,D9,4177,3295,4915,2067.62,55.58,51.25,RS1_24,0Pi,yH894
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,D10,3895,1073,919,781.19,62.05,46.56,RS1_210,0Pi,yH902
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,D11,3438,3423,4680,2178.74,57.03,53.1,RS1_24,Ctrl,yH894
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,D12,3170,1073,839,774.74,61.62,47.12,RS1_210,Ctrl,yH902
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,E9,4016,4436,5576,2462.91,50.52,49.61,RS1_24,0Pi,yH895
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,E10,3985,1012,747,776.16,64.98,46.73,RS1_210,0Pi,yH903
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,E11,3500,4492,5227,2623.63,53.29,51.2,RS1_24,Ctrl,yH895
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,E12,3187,1024,885,731.78,61.55,48.36,RS1_210,Ctrl,yH903
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,F9,3971,2976,3149,1897.86,56.47,51.96,RS1_26,0Pi,yH896
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,F10,3913,1069,908,801.1,63.86,45.07,RS1_210,0Pi,yH904
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,F11,3452,2336,2175,1730.06,63.71,59.58,RS1_26,Ctrl,yH896
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,F12,3184,1051,932,733.62,60.12,47.91,RS1_210,Ctrl,yH904
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,G9,3832,3500,4523,1986.23,51.73,50.03,RS1_26,0Pi,yH897
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,G11,3437,2607,3150,1841.15,61.19,58.63,RS1_26,Ctrl,yH897
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,H9,3894,3724,4739,2192.14,52.66,49.39,RS1_26,0Pi,yH898
Rep3-0Pi-Ctrl,d021024-60min-RS1-R3,60min,H11,3372,2798,3486,1952.91,60.63,60.41,RS1_26,Ctrl,yH898
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,A9,4462,12284,38246,15088.87,85.15,109.1,wt,2mMH2O2,yH298
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,A10,3872,5540,7609,3376.82,56.18,58.55,RS1_28,2mMH2O2,yH899
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,A11,3576,5200,5652,2371.75,43.31,40.36,wt,Ctrl,yH298
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,A12,3273,1957,1975,1231.69,55.55,48.33,RS1_28,Ctrl,yH899
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,B9,3647,31308,35675,10685.19,33.67,31.18,wt,2mMH2O2,yH299
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,B10,3828,5498,7018,3412.52,57.25,60.57,RS1_28,2mMH2O2,yH900
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,B11,3414,5433,6142,2415.55,41.9,39.08,wt,Ctrl,yH299
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,B12,3310,2064,1700,1301.8,55.51,47.38,RS1_28,Ctrl,yH900
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,C9,3523,18453,21365,7593.54,41.55,38.84,RS1_24,2mMH2O2,yH893
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,C10,3588,6098,9634,3495.18,53.39,56.35,RS1_28,2mMH2O2,yH901
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,C11,3422,4484,5171,2674.48,54.59,52.84,RS1_24,Ctrl,yH893
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,C12,3173,2147,1960,1237.09,51.76,47.23,RS1_28,Ctrl,yH901
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,D9,2894,18247,23918,7368.22,40.52,39.09,RS1_24,2mMH2O2,yH894
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,D10,4173,980,782,1111.26,91.79,50.08,RS1_210,2mMH2O2,yH902
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,D11,3645,4797,5361,2750.98,53.08,51.65,RS1_24,Ctrl,yH894
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,D12,3397,983,759,679.06,60.07,46.76,RS1_210,Ctrl,yH902
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,E9,3372,18817,19130,7583.28,40.41,37.71,RS1_24,2mMH2O2,yH895
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,E10,4189,1366,645,1652.45,88.59,69.03,RS1_210,2mMH2O2,yH903
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,E11,3442,4664,5161,2633.26,52.36,52.39,RS1_24,Ctrl,yH895
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,E12,3450,984,850,726.54,61.97,47.91,RS1_210,Ctrl,yH903
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,F9,3416,13105,17132,7372.88,57.2,64.34,RS1_26,2mMH2O2,yH896
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,F10,3991,1450,689,1673.59,84.59,68.4,RS1_210,2mMH2O2,yH904
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,F11,3200,2631,3823,1882.51,61.77,61.27,RS1_26,Ctrl,yH896
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,F12,3157,1016,851,714.48,60.03,46.7,RS1_210,Ctrl,yH904
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,G9,3556,14122,16434,7656.24,55.25,61.23,RS1_26,2mMH2O2,yH897
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,G11,3376,2601,3548,1875.3,62.14,62.34,RS1_26,Ctrl,yH897
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,H9,3541,13102,18279,7710.17,58.33,67.46,RS1_26,2mMH2O2,yH898
Rep4-H2O2-Ctrl,d021224-60min-RS1-R4,60min,H11,3279,2538,3828,1899.16,63.77,65.37,RS1_26,Ctrl,yH898
Rep1-0Pi-H2O2,d020724-90min-RS1-R1,90min,A1,4040,9518,10996,3674.13,37.1,36.18,wt,0Pi,yH298
Rep1-0Pi-H2O2,d020724-90min-RS1-R1,90min,A2,8987,2564,2741,1433.7,50.92,46.03,RS1_28,0Pi,yH899
Rep1-0Pi-H2O2,d020724-90min-RS1-R1,90min,B1,9259,8988,9314,3441.74,36.78,33.6,wt,0Pi,yH299
Rep1-0Pi-H2O2,d020724-90min-RS1-R1,90min,B2,8699,2522,2801,1359.1,49.18,44.03,RS1_28,0Pi,yH900
Rep1-0Pi-H2O2,d020724-90min-RS1-R1,90min,C1,8895,5115,6142,2817.77,50.45,48.58,RS1_24,0Pi,yH893
